               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.029057,            0.019989,                   0,             0.96376,             0.91063,             0.96269,             0.62352,            0.025037,            0.020721,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.027803,            0.018292,                   0,             0.96665,             0.89329,             0.96188,             0.52597,             0.02803,            0.020902,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.026955,            0.016645,                   0,             0.96715,             0.90735,             0.96684,             0.58998,            0.025658,            0.020706,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.029898,            0.020379,                   0,             0.96363,             0.90733,             0.96513,             0.58545,            0.026585,            0.020603,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.027775,            0.017177,                   0,             0.96714,             0.91438,              0.9623,             0.59746,            0.024879,             0.02048,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.027342,            0.017522,                   0,             0.95983,             0.90017,              0.9561,              0.5532,            0.026873,            0.020549,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.028707,            0.020099,                   0,             0.96036,             0.91781,             0.96682,             0.58644,            0.025794,            0.020418,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.027572,            0.018974,                   0,             0.96125,             0.93458,             0.96995,             0.61345,            0.024369,            0.020215,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.029109,            0.020474,                   0,             0.96085,             0.92456,             0.96866,              0.6019,            0.024646,            0.020182,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.028025,            0.018641,                   0,             0.94157,             0.93813,             0.96815,             0.61229,            0.024326,            0.020191,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.028244,             0.02216,                   0,             0.96056,             0.91742,             0.96942,             0.61853,            0.023938,            0.020464,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.028895,            0.019203,                   0,             0.94076,             0.92459,             0.96681,              0.6001,             0.02564,            0.020847,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.030721,            0.021137,                   0,             0.95001,             0.93151,              0.9695,             0.60171,            0.025688,            0.020773,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.028744,            0.019341,                   0,             0.95683,             0.91088,             0.96895,             0.59801,             0.02592,            0.020765,                   0,            0.002476,            0.002476,            0.002476
                 116,             0.02695,            0.019441,                   0,             0.93507,             0.93836,             0.97032,             0.62789,            0.024233,            0.020556,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.027501,            0.018707,                   0,             0.95422,              0.9279,             0.97036,             0.58152,            0.025715,            0.020578,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.028681,             0.01765,                   0,             0.96589,             0.91096,             0.96993,             0.58666,            0.025514,            0.020524,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.026124,            0.016475,                   0,             0.96758,             0.92466,             0.97306,             0.60832,             0.02514,            0.020407,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.027695,            0.019068,                   0,             0.96394,             0.92123,             0.97054,             0.61037,             0.02445,            0.020279,                   0,            0.002146,            0.002146,            0.002146
                 121,             0.02847,            0.019031,                   0,             0.96023,             0.91438,             0.97026,              0.6019,            0.024456,            0.020251,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.025869,            0.016914,                   0,             0.97748,             0.90753,              0.9704,             0.61323,            0.024368,            0.020097,                   0,            0.002014,            0.002014,            0.002014
